<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160104,110000,254.4000000,254.9000000,252.0000000,253.3000000,452550
20160104,120000,253.0000000,253.5500000,251.6000000,252.5500000,277210
20160104,130000,252.5500000,252.5500000,250.8500000,251.1000000,493040
20160104,140000,251.2000000,253.8000000,250.3500000,253.6500000,366880
20160104,150000,253.6500000,254.7500000,253.1000000,253.4500000,225460
20160104,160000,253.6000000,254.3500000,252.7500000,252.9000000,135650
20160104,170000,252.8000000,253.9500000,252.4000000,253.0500000,117750
20160104,180000,253.3500000,253.5000000,251.7000000,252.2500000,112270
20160104,190000,252.3000000,252.7000000,251.0000000,251.0000000,283030
20160105,110000,251.5500000,251.8500000,250.5500000,251.0500000,293520
20160105,120000,251.0500000,251.6000000,249.6000000,250.0500000,624510
20160105,130000,250.1000000,250.2500000,249.4000000,249.8000000,190150
20160105,140000,249.7500000,249.9000000,248.7500000,249.6500000,208240
20160105,150000,249.6000000,249.8500000,248.9000000,249.8500000,87380
20160105,160000,249.8000000,251.5500000,249.6000000,251.5000000,119510
20160105,170000,251.5500000,252.6000000,251.2500000,252.1500000,311670
20160105,180000,252.1500000,252.2000000,250.8500000,251.5000000,194210
20160105,190000,251.6000000,253.8000000,251.4000000,253.2000000,415550
20160106,110000,253.2000000,255.0000000,253.0000000,253.5500000,236460
20160106,120000,253.5500000,254.0000000,252.1000000,253.8000000,275620
20160106,130000,253.8000000,254.2000000,252.8000000,253.0000000,111360
20160106,140000,252.9500000,253.0000000,250.7500000,251.0500000,227980
20160106,150000,251.0500000,251.1000000,250.5500000,251.0500000,225630
20160106,160000,250.8500000,251.7000000,250.2500000,251.6000000,209980
20160106,170000,251.5000000,253.2500000,251.2500000,253.0500000,177160
20160106,180000,253.0500000,253.0500000,252.3000000,252.7500000,171340
20160106,190000,252.7000000,253.4500000,252.3000000,252.4000000,329280
20160111,110000,245.0000000,246.7500000,242.4000000,246.1500000,1114980
20160111,120000,246.1500000,246.6000000,242.7500000,243.2500000,1727980
20160111,130000,243.1000000,243.1000000,241.5500000,242.6500000,891700
20160111,140000,242.6500000,242.8000000,239.1500000,240.6000000,1095470
20160111,150000,240.5500000,242.1500000,239.4500000,239.9500000,1494170
20160111,160000,239.8500000,240.9000000,239.5500000,240.6500000,226650
20160111,170000,240.6000000,241.3000000,239.5000000,240.9000000,564260
20160111,180000,240.6500000,241.5000000,240.4500000,241.0500000,266000
20160111,190000,240.9500000,241.7500000,240.1500000,241.0500000,457370
20160112,110000,236.9500000,238.8000000,233.9000000,237.8000000,520500
20160112,120000,238.0500000,238.9500000,237.0000000,237.3500000,822930
20160112,130000,237.3500000,241.1000000,236.8500000,241.1000000,606440
20160112,140000,241.1000000,243.3000000,240.5000000,243.2500000,484090
20160112,150000,243.3000000,243.4000000,240.4500000,240.8000000,381540
20160112,160000,240.6500000,241.1500000,239.6500000,240.2500000,313150
20160112,170000,240.3000000,243.2000000,239.9000000,243.0500000,543250
20160112,180000,243.0500000,243.3000000,241.1000000,242.7500000,606430
20160112,190000,242.7000000,243.1500000,239.9000000,239.9000000,452870
20160113,110000,240.8000000,242.2000000,240.2000000,241.7500000,349230
20160113,120000,241.7500000,243.5000000,241.7000000,242.3000000,437680
20160113,130000,242.4000000,242.6000000,239.6500000,239.9500000,704870
20160113,140000,239.9500000,241.0000000,239.6500000,240.6000000,279550
20160113,150000,240.6000000,241.5500000,240.3500000,240.7500000,162730
20160113,160000,240.6000000,241.2000000,240.3500000,240.8000000,184610
20160113,170000,241.0000000,242.2000000,240.8000000,241.3000000,299240
20160113,180000,241.4000000,241.8500000,240.0500000,240.7500000,563080
20160113,190000,240.8500000,241.2000000,238.3000000,239.6000000,991480
20160114,110000,238.0000000,239.8500000,236.7000000,238.8500000,419140
20160114,120000,238.8500000,238.8500000,236.2000000,236.4500000,515290
20160114,130000,236.4500000,236.7500000,235.2000000,235.8500000,441760
20160114,140000,235.8500000,236.0000000,235.1000000,235.4500000,222150
20160114,150000,235.4500000,235.6000000,234.3000000,234.7500000,496530
20160114,160000,235.0000000,236.4000000,234.6000000,236.1500000,391340
