<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160101,000000,254.4000000,272.4500000,228.3000000,272.4500000,101328000
20160201,000000,272.2500000,287.6000000,259.7000000,287.6000000,100933460
20160301,000000,286.8000000,322.7500000,285.1000000,305.2000000,122802660
20160401,000000,302.7500000,351.7500000,297.2000000,351.0000000,130133260
20160501,000000,346.6500000,356.9500000,311.5500000,316.0000000,82823300
20160601,000000,316.1500000,348.0000000,309.5000000,330.0000000,101839590
20160701,000000,329.3500000,341.5500000,316.5500000,325.5000000,57644970
20160801,000000,326.5000000,353.5500000,316.1500000,344.7000000,57258010
20160901,000000,344.7500000,370.8000000,337.7500000,342.8000000,77677250
20161001,000000,345.0000000,367.5000000,336.5500000,347.6500000,69015220
20161101,000000,348.2500000,360.4500000,333.1000000,340.2000000,74042700
20161201,000000,343.1500000,414.9000000,336.2500000,402.8000000,137354100
20170101,000000,403.6000000,425.7000000,374.1000000,400.6000000,94777200
