<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160104,000000,254.4000000,255.0000000,248.7500000,252.4000000,6873390
20160111,000000,245.0000000,246.7500000,229.5000000,232.1000000,27795270
20160118,000000,229.5000000,252.4000000,228.3000000,250.4000000,30248270
20160125,000000,251.4500000,272.4500000,246.2500000,272.4500000,36411070
20160201,000000,272.2500000,286.5000000,266.4000000,281.5500000,26779340
20160208,000000,281.5500000,282.2000000,259.7000000,270.7000000,28377130
20160215,000000,273.3500000,283.8500000,269.6000000,276.9500000,21408360
20160222,000000,277.8500000,286.2000000,277.1500000,283.3000000,17272050
20160229,000000,282.2500000,302.2500000,279.7000000,302.2500000,26421230
20160307,000000,303.7500000,304.4000000,294.6000000,301.6000000,23935140
20160314,000000,301.3000000,320.0000000,297.5500000,315.5500000,32998820
20160321,000000,314.0000000,322.7500000,302.3500000,304.5000000,24937240
20160328,000000,306.4000000,308.1000000,293.2500000,301.8000000,26420230
20160404,000000,300.9500000,316.5000000,299.8500000,316.5000000,23320430
20160411,000000,316.5500000,329.2000000,306.6000000,309.7500000,30588050
20160418,000000,304.0000000,325.3000000,300.3500000,322.1000000,38690860
20160425,000000,322.0000000,351.7500000,320.5500000,351.0000000,32720500
20160502,000000,346.6500000,356.9500000,326.3000000,329.0000000,17646180
20160509,000000,327.8000000,329.6000000,313.0000000,322.6500000,17010300
20160516,000000,323.1500000,333.8500000,314.1500000,324.6500000,20960110
20160523,000000,323.0500000,327.0000000,311.5500000,320.6000000,22435750
20160530,000000,320.5500000,324.6000000,309.5000000,314.7500000,16865640
20160606,000000,314.9000000,344.9500000,314.9000000,337.8500000,25547620
20160613,000000,335.1000000,337.0000000,311.7000000,320.6500000,20191010
20160620,000000,325.5000000,348.0000000,324.0000000,333.6500000,26607830
20160627,000000,333.7000000,335.6000000,324.0000000,332.4500000,20048090
20160704,000000,334.5000000,336.0000000,316.5500000,325.0000000,16349090
20160711,000000,325.6000000,341.5500000,324.4500000,335.0000000,15586060
20160718,000000,334.9500000,335.6500000,325.0500000,334.3000000,11119440
20160725,000000,334.0000000,335.7500000,323.2000000,325.5000000,11940740
20160801,000000,326.5000000,330.5500000,316.1500000,329.9000000,12439180
20160808,000000,330.2000000,332.8000000,321.1000000,330.8500000,9576010
20160815,000000,330.1000000,353.5500000,329.8000000,349.0500000,19133360
20160822,000000,347.9500000,352.2500000,345.0000000,350.5500000,10974220
20160829,000000,348.4000000,352.5000000,338.5000000,349.9000000,13204820
20160905,000000,351.4000000,366.6000000,350.0000000,362.4000000,16571570
20160912,000000,358.4500000,370.8000000,358.4500000,360.8500000,19722100
20160919,000000,361.4500000,363.7000000,353.0500000,356.0500000,14431330
20160926,000000,355.5500000,355.6000000,337.7500000,342.8000000,18882670
20161003,000000,345.0000000,352.7000000,336.5500000,341.5000000,18795470
20161010,000000,341.9000000,367.5000000,339.7500000,353.8500000,24845190
20161017,000000,351.0500000,353.9500000,341.6000000,344.3000000,12925420
20161024,000000,344.3500000,351.0000000,342.1500000,349.9000000,10576800
20161031,000000,348.2000000,360.4500000,341.3000000,342.0000000,12245210
20161107,000000,343.1000000,358.0000000,336.0500000,342.1000000,17047320
20161114,000000,343.9000000,345.6000000,333.1000000,337.0000000,18899100
20161121,000000,339.0000000,349.9000000,338.4500000,341.5000000,13460990
20161128,000000,341.2500000,345.3500000,334.5000000,340.0000000,24618440
20161205,000000,339.9000000,380.9500000,339.7500000,370.8000000,55050760
20161212,000000,376.6000000,414.7500000,372.3000000,410.5000000,43278850
20161219,000000,409.2500000,414.9000000,379.0000000,382.8500000,17206910
20161226,000000,382.9000000,403.9000000,382.1000000,402.8000000,11461560
