<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160104,000000,152.3000000,155.9000000,152.2500000,153.0000000,65030
20160105,000000,152.8000000,154.9500000,152.5500000,154.4000000,68260
20160106,000000,154.0000000,155.8000000,153.7000000,154.5500000,85530
20160111,000000,151.1000000,152.8500000,150.8000000,152.3000000,99360
20160112,000000,151.5000000,151.9000000,149.0000000,149.9500000,103900
20160113,000000,150.2500000,150.3000000,148.5000000,148.7500000,127300
20160114,000000,148.7000000,149.0500000,146.7500000,147.7500000,207430
20160115,000000,147.7500000,147.9500000,144.1000000,144.9000000,174190
20160118,000000,144.0000000,144.3500000,142.1500000,143.3000000,143480
20160119,000000,143.5500000,145.6000000,142.8000000,142.9000000,344500
20160120,000000,142.8000000,144.0500000,140.3000000,143.0000000,239240
20160121,000000,143.2000000,144.8000000,141.5500000,141.5500000,279080
20160122,000000,143.2500000,145.5000000,141.2500000,144.2500000,1018340
20160125,000000,145.5500000,145.8000000,142.8000000,143.7500000,281890
20160126,000000,143.0500000,146.2500000,141.8000000,144.5000000,455360
20160127,000000,144.2000000,145.2000000,143.8500000,144.9000000,131780
20160128,000000,144.7500000,145.9000000,143.7000000,145.0500000,793840
20160129,000000,145.6500000,147.0000000,145.0000000,145.7500000,333820
20160201,000000,145.6000000,145.8000000,144.8500000,145.1000000,95390
20160202,000000,145.0000000,146.4500000,144.7000000,145.1500000,208610
20160203,000000,144.5500000,146.8500000,144.0000000,144.8500000,178960
20160204,000000,145.8000000,147.4000000,145.8000000,146.7500000,163810
20160205,000000,146.6500000,148.0000000,146.3500000,147.9000000,116820
20160208,000000,147.6500000,148.7000000,146.1000000,147.0000000,171750
20160209,000000,147.0000000,147.0000000,145.2500000,145.6000000,77600
20160210,000000,145.4500000,146.3500000,144.6000000,145.2500000,283690
20160211,000000,146.2000000,146.2000000,143.0500000,143.9000000,222100
20160212,000000,144.7500000,145.0500000,143.6500000,144.3000000,190880
20160215,000000,145.5000000,146.7000000,145.0000000,145.5000000,175570
20160216,000000,145.7500000,146.7000000,144.8000000,144.8000000,205090
20160217,000000,145.3000000,146.4000000,144.9000000,145.9000000,151430
20160218,000000,146.5000000,147.3000000,146.0000000,146.9000000,333200
20160219,000000,146.3000000,147.0000000,144.9000000,145.2500000,134530
20160220,000000,145.4000000,145.9500000,144.9500000,145.6000000,61630
20160222,000000,146.2500000,146.4000000,145.1500000,145.4500000,258360
20160224,000000,144.8000000,145.3000000,144.0000000,144.2000000,294790
20160225,000000,144.6000000,145.4000000,144.0000000,144.5500000,181390
20160226,000000,145.0000000,147.7500000,144.6500000,146.2000000,597230
20160229,000000,146.0500000,148.4500000,145.8000000,148.4500000,263160
20160301,000000,148.4500000,149.3500000,147.1000000,147.7000000,236170
20160302,000000,148.5000000,149.5000000,145.8500000,146.2500000,302430
20160303,000000,146.6000000,148.6000000,145.3000000,147.7500000,312280
20160304,000000,147.3500000,148.5500000,145.8000000,146.6500000,501200
20160307,000000,147.1000000,148.9500000,146.2500000,148.5500000,327930
