<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160104,110000,152.3000000,153.2000000,152.2500000,153.1500000,4420
20160104,120000,153.1000000,154.0500000,153.1000000,153.5000000,11020
20160104,130000,153.5000000,155.9000000,153.5000000,155.4500000,14970
20160104,140000,155.1500000,155.5000000,154.6000000,154.6000000,18640
20160104,150000,154.6500000,154.8000000,153.6500000,153.8000000,8430
20160104,160000,153.6500000,153.6500000,152.8000000,153.1500000,3910
20160104,170000,153.1500000,153.2000000,152.8500000,153.1000000,1480
20160104,180000,153.0000000,153.4000000,153.0000000,153.0500000,1040
20160104,190000,153.0500000,153.3000000,152.8000000,153.0000000,1120
20160105,110000,152.8000000,153.6000000,152.5500000,153.0000000,8690
20160105,120000,152.9000000,154.9500000,152.7000000,154.0500000,39640
20160105,130000,154.1500000,154.8000000,154.1500000,154.8000000,430
20160105,140000,154.0500000,154.7000000,154.0500000,154.6500000,90
20160105,150000,154.3000000,154.7500000,154.1000000,154.2500000,250
20160105,160000,154.5000000,154.5500000,154.5000000,154.5500000,510
20160105,170000,154.7000000,154.7000000,154.5000000,154.5000000,990
20160105,180000,154.5000000,154.5000000,154.0000000,154.0000000,3360
20160105,190000,154.2000000,154.4000000,153.8500000,154.4000000,14300
20160106,110000,154.0000000,154.3500000,153.9000000,154.2000000,100
20160106,120000,154.1500000,154.4500000,154.1500000,154.4500000,2070
20160106,130000,154.2500000,154.2500000,154.1500000,154.1500000,180
20160106,140000,154.3000000,154.4500000,153.7000000,154.1500000,18500
20160106,150000,154.2000000,154.4500000,154.0000000,154.2500000,11930
20160106,160000,154.2000000,155.3500000,153.9000000,155.3000000,22910
20160106,170000,155.3000000,155.5500000,154.9500000,155.0000000,11150
20160106,180000,155.1500000,155.8000000,155.1000000,155.1000000,13760
20160106,190000,155.3000000,155.3000000,154.5500000,154.5500000,4930
20160111,110000,151.1000000,152.2500000,150.8000000,152.1000000,30760
20160111,120000,152.0000000,152.6000000,151.8000000,152.2500000,14420
