<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160101,000000,152.3000000,155.9000000,140.3000000,145.7500000,4952330
20160201,000000,145.6000000,148.7000000,143.0500000,148.4500000,4365990
20160301,000000,148.4500000,152.5000000,144.8500000,149.7500000,7660650
20160401,000000,149.3500000,155.8000000,147.3500000,152.4000000,6805700
20160501,000000,153.3000000,160.0000000,152.0500000,157.1000000,3813690
20160601,000000,156.3500000,163.2000000,150.0000000,161.3500000,4507080
20160701,000000,161.1000000,167.2000000,161.0000000,165.8000000,2425480
20160801,000000,166.0000000,174.7000000,162.0500000,172.1000000,3270600
20160901,000000,172.1500000,184.4500000,169.6500000,176.9000000,3165620
20161001,000000,177.2000000,187.8000000,173.2000000,184.7000000,4117990
20161101,000000,184.8500000,200.9500000,175.5500000,199.9000000,4413170
20161201,000000,199.8500000,218.9500000,198.8500000,214.0000000,6975510
20170101,000000,214.7000000,239.9000000,214.3500000,230.7000000,3540610
