<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160104,000000,152.3000000,155.9000000,152.2500000,154.5500000,218820
20160111,000000,151.1000000,152.8500000,144.1000000,144.9000000,712180
20160118,000000,144.0000000,145.6000000,140.3000000,144.2500000,2024640
20160125,000000,145.5500000,147.0000000,141.8000000,145.7500000,1996690
20160201,000000,145.6000000,148.0000000,144.0000000,147.9000000,763590
20160208,000000,147.6500000,148.7000000,143.0500000,144.3000000,946020
20160215,000000,145.5000000,147.3000000,144.8000000,145.6000000,1061450
20160222,000000,146.2500000,147.7500000,144.0000000,146.2000000,1331770
20160229,000000,146.0500000,149.5000000,145.3000000,146.6500000,1615240
20160307,000000,147.1000000,148.9500000,145.0500000,145.0500000,1115960
20160314,000000,145.5500000,147.8500000,144.8500000,145.5000000,2490700
20160321,000000,145.7000000,149.0000000,145.1000000,147.8500000,1361170
20160328,000000,148.0500000,152.5000000,146.8000000,149.2500000,1575260
20160404,000000,149.5500000,151.5000000,148.2000000,149.1500000,1560110
20160411,000000,150.2500000,153.6500000,148.9000000,150.3000000,1695780
20160418,000000,149.0000000,155.8000000,147.3500000,153.3000000,2310760
20160425,000000,153.4000000,155.2500000,152.0000000,152.4000000,1004530
20160502,000000,153.3000000,156.1000000,152.2000000,153.9500000,647410
20160509,000000,153.0000000,156.1500000,152.0500000,153.8500000,810900
20160516,000000,154.6500000,160.0000000,153.2000000,156.4000000,1114710
20160523,000000,156.0000000,157.5000000,154.2000000,156.1500000,802630
20160530,000000,156.5000000,160.0000000,155.2500000,159.0000000,1458400
20160606,000000,159.1000000,163.2000000,157.0000000,157.6000000,816800
20160613,000000,157.5000000,158.4500000,150.0000000,152.2000000,738370
20160620,000000,156.7000000,163.0000000,155.1000000,159.9500000,1627110
20160627,000000,160.0000000,163.7000000,156.6500000,163.2000000,375410
20160704,000000,163.9500000,165.5000000,161.1000000,162.6500000,1027600
20160711,000000,162.9500000,165.8000000,161.6000000,163.5500000,743720
20160718,000000,163.2000000,167.2000000,161.1500000,166.3000000,293350
20160725,000000,166.4000000,167.0000000,163.3000000,165.8000000,289840
20160801,000000,166.0000000,167.5500000,163.9000000,166.0000000,720240
20160808,000000,166.0500000,166.0500000,162.0500000,165.0000000,712860
20160815,000000,165.0000000,171.6000000,164.9500000,170.3000000,694070
20160822,000000,170.6000000,174.7000000,167.2500000,172.9000000,960680
20160829,000000,172.8500000,174.1500000,170.7500000,171.4000000,318230
20160905,000000,171.4500000,176.5500000,169.6500000,174.2000000,993400
20160912,000000,174.3000000,178.3500000,172.2500000,177.4000000,671880
20160919,000000,177.1500000,179.7500000,174.1000000,178.4000000,561070
20160926,000000,178.4000000,184.4500000,176.0000000,176.9000000,803790
20161003,000000,177.2000000,179.5000000,173.2000000,175.9500000,673120
20161010,000000,176.3500000,178.8000000,175.1000000,177.3000000,377930
20161017,000000,176.2000000,181.9500000,175.3500000,180.5000000,1260840
20161024,000000,181.2000000,187.8000000,179.1000000,184.9000000,1710300
20161031,000000,185.0000000,186.5500000,182.2500000,184.7500000,427980
20161107,000000,184.1000000,189.9000000,175.5500000,182.0000000,1303830
20161114,000000,183.1500000,187.7500000,179.0000000,186.8000000,866390
20161121,000000,186.8500000,200.9500000,186.8500000,196.6000000,1366260
20161128,000000,197.0000000,207.7000000,193.0000000,202.4000000,1006010
20161205,000000,201.5500000,211.8000000,200.3000000,206.8500000,1499040
20161212,000000,206.8000000,209.6500000,203.1000000,208.0000000,2876400
20161219,000000,207.1000000,211.4500000,203.5000000,208.3500000,1235310
20161226,000000,208.9000000,218.9500000,206.0000000,214.0000000,903260
